"primary_song_artist_id","primary_song_artist"
1,"Eurythmics"
2,"The Pussycat Dolls feat. Timbaland"
3,"Celine Dion"
4,"Kris Allen"
5,"Roberta Flack"
6,"Edwyn Collins"
7,"Adam Lambert"
8,"Alicia Keys"
9,"Bonnie Raitt"
10,"Train"
11,"Kate Bush"
12,"Astor Piazzolla"
13,"B.o.B feat. Bruno Mars"
14,"Tanghetto"
15,"The Beatles"
16,"Gerardo Matos Rodríguez"
17,"Rihanna feat. Jay-Z"
18,"Jefferson Airplane"
19,"Santana"
20,"Aretha Franklin"
21,"Donna Summer"
22,"Curtis Stigers"
23,"Beyoncé feat. Jay-Z"
24,"Ricky Martin"
25,"Louis Armstrong"
26,"The Jackson 5"
27,"Roxette"
28,"Lionel Richie"
29,"Whitney Houston"
30,"Earth, Wind & Fire"
31,"The Blackout All-Stars"
32,"Jackie DeShannon"
33,"Elton John"
34,"Norah Jones"
35,"Aerosmith"
36,"The Pointer Sisters"
37,"Destiny's Child"
38,"Fred Astaire"
39,"John Travolta & Olivia Newton-John"
40,"Diana Ross & Lionel Richie"
41,"Irving Berlin"
42,"Wham!"
43,"Sweet Charity"
44,"Nelly Furtado"
45,"Cherry Poppin' Daddies"
46,"Enrique Iglesias"
47,"Duke Ellington"
48,"Jackie Wilson"
49,"Berlin"
50,"The Contours"
51,"Britney Spears"
52,"Kenny Loggins"
53,"Debelah Morgan"
54,"Victor Silvester"
55,"Queen"
56,"Danny Malando"
57,"The Champs"
58,"Elvis Presley"
59,"from Chicago"
60,"The Tango Project"
61,"Quincy Jones"
62,"Grover Washington, Jr. & Bill Withers"
63,"Nat King Cole"
64,"Andy Fortuna"
65,"Mexicana Aleque la-Band"
66,"Gipsy Kings"
67,"Shirley Bassey"
68,"Mama Cass"
69,"The Animals"
70,"Michael Jackson"
71,"Survivor"
72,"Julie London"
73,"Europe"
74,"Jennifer Lopez"
75,"All Saints"
76,"Miami Sound Machine"
77,"Chic"
78,"Marilyn Monroe"
79,"Pink"
80,"Anita Baker"
81,"Barbra Streisand"
82,"Stevie Wonder"
