"score_id","performance_id","judge_id","judge_score"
1,132,1,6.5
2,132,2,6.5
3,132,3,6.5
4,135,1,9.0
5,135,2,8.0
6,135,3,9.0
7,136,1,6.0
8,136,2,6.0
9,136,3,6.0
10,137,1,5.5
11,137,2,5.5
12,137,3,5.5
13,138,1,8.5
14,138,2,8.0
15,138,3,8.5
16,143,1,6.5
17,143,2,6.5
18,143,3,6.0
19,144,1,5.0
20,144,2,5.5
21,144,3,5.5
22,145,1,7.5
23,145,2,6.5
24,145,3,8.0
25,150,1,7.5
26,150,2,7.5
27,150,3,8.5
28,2823,1,6.0
29,2823,2,5.5
30,2823,3,5.5
31,2849,1,8.0
32,2849,2,8.0
33,2849,3,8.0
34,2850,1,6.0
35,2850,2,7.0
36,2850,3,6.5
37,2851,1,7.0
38,2851,2,6.5
39,2851,3,6.5
40,2852,1,5.0
41,2852,2,4.5
42,2852,3,4.5
43,2879,1,6.0
44,2879,2,6.0
45,2879,3,5.5
46,2880,1,9.5
47,2880,2,9.0
48,2880,3,9.5
49,2881,1,5.0
50,2881,2,5.5
51,2881,3,5.5
52,2910,1,8.0
53,2910,2,7.5
54,2910,3,7.5
55,0,1,7.0
56,0,2,5.0
57,0,3,6.0
58,1,1,5.0
59,1,2,7.0
60,1,3,7.0
61,2,1,4.0
62,2,2,5.0
63,2,3,4.0
64,3,1,8.0
65,3,2,6.0
66,3,3,8.0
67,4,1,7.0
68,4,2,7.0
69,4,3,6.0
70,5,1,8.0
71,5,2,8.0
72,5,3,8.0
73,6,1,6.0
74,6,2,7.0
75,6,3,7.0
76,7,1,4.0
77,7,2,4.0
78,7,3,4.0
79,8,1,7.0
80,8,2,8.0
81,8,3,8.0
82,9,1,7.0
83,9,2,6.0
84,9,3,7.0
85,10,1,5.0
86,10,2,7.0
87,10,3,6.0
88,11,1,5.0
89,11,2,4.0
90,11,3,4.0
91,12,1,7.0
92,12,2,7.0
93,12,3,6.0
94,13,1,7.0
95,13,2,7.0
96,13,3,7.0
97,14,1,7.0
98,14,2,8.0
99,14,3,8.0
100,15,1,6.0
101,15,2,7.0
102,15,3,7.0
103,16,1,6.0
104,16,2,6.0
105,16,3,6.0
106,17,1,8.0
107,17,2,8.0
108,17,3,8.0
109,18,1,9.0
110,18,2,9.0
111,18,3,9.0
112,19,1,7.0
113,19,2,8.0
114,19,3,7.0
115,20,1,8.0
116,20,2,7.0
117,20,3,7.0
118,21,1,8.0
119,21,2,7.0
120,21,3,6.0
121,22,1,6.0
122,22,2,7.0
123,22,3,6.0
124,23,1,8.0
125,23,2,9.0
126,23,3,9.0
127,24,1,5.0
128,24,2,6.0
129,24,3,6.0
130,25,1,7.0
131,25,2,8.0
132,25,3,8.0
133,26,1,9.0
134,26,2,10.0
135,26,3,10.0
136,27,1,6.0
137,27,2,5.0
138,27,3,5.0
139,28,1,5.0
140,28,2,6.0
141,28,3,6.0
142,29,1,5.0
143,29,2,4.0
144,29,3,5.0
145,30,1,5.0
146,30,2,4.0
147,30,3,4.0
148,31,1,8.0
149,31,2,8.0
150,31,3,8.0
151,32,1,7.0
152,32,2,6.0
153,32,3,6.0
154,33,1,8.0
155,33,2,9.0
156,33,3,9.0
157,34,1,6.0
158,34,2,7.0
159,34,3,8.0
160,35,1,9.0
161,35,2,8.0
162,35,3,7.0
163,36,1,7.0
164,36,2,7.0
165,36,3,8.0
166,37,1,7.0
167,37,2,8.0
168,37,3,7.0
169,38,1,9.0
170,38,2,9.0
171,38,3,9.0
172,39,1,7.0
173,39,2,7.0
174,39,3,8.0
175,40,1,7.0
176,40,2,6.0
177,40,3,7.0
178,41,1,8.0
179,41,2,9.0
180,41,3,8.0
181,42,1,9.0
182,42,2,9.0
183,42,3,9.0
184,43,1,6.0
185,43,2,4.0
186,43,3,4.0
187,44,1,9.0
188,44,2,8.0
189,44,3,9.0
190,45,1,7.0
191,45,2,9.0
192,45,3,9.0
193,46,1,7.0
194,46,2,8.0
195,46,3,6.0
196,47,1,9.0
197,47,2,9.0
198,47,3,8.0
199,48,1,9.0
200,48,2,9.0
201,48,3,9.0
202,49,1,7.0
203,49,2,7.0
204,49,3,7.0
205,50,1,9.0
206,50,2,9.0
207,50,3,9.0
208,51,1,8.0
209,51,2,7.0
210,51,3,7.0
211,52,1,9.0
212,52,2,8.0
213,52,3,8.0
214,53,1,8.0
215,53,2,6.0
216,53,3,6.0
217,54,1,9.0
218,54,2,8.0
219,54,3,8.0
220,55,1,4.0
221,55,2,2.0
222,55,3,2.0
223,56,1,8.0
