id,county_id,calendar_year,base_estimate,population_estimate,population_change,births,deaths,natural_change,international_migration,domestic_migration,net_migration,residual,gq_base_estimate,gq_estimate
9049,10021,2020,23709,23676,-33,52,73,,0,-11,-11,-1,134,134
9050,10023,2020,15052,15067,15,38,38,,0,16,16,-1,150,150
9051,10024,2020,17898,17857,-41,39,53,,0,-25,-25,-2,170,170
9052,10025,2020,3533,3531,-2,13,14,,0,0,0,-1,24,24
9053,10026,2020,13530,13501,-29,20,39,,0,-10,-10,0,2512,2512
9054,10028,2020,67839,67861,22,209,167,,6,-23,-17,-3,2249,2249
9055,10029,2020,16811,16832,21,41,46,,3,23,26,0,84,84
9056,10030,2020,22735,22783,48,47,67,,1,69,70,-2,174,174
9057,10031,2020,1603797,1601005,-2792,4796,4262,,203,-3557,-3354,28,55395,55395
9058,10032,2020,2413,2388,-25,14,7,,0,-32,-32,0,0,0
9059,10033,2020,13232,13230,-2,34,31,,0,-4,-4,-1,111,111
9060,10034,2020,67260,66811,-449,169,224,,0,-394,-394,0,5368,5368
9061,10035,2020,7203,7204,1,24,29,,0,7,7,-1,49,49
9062,10036,2020,206873,207230,357,604,522,,5,267,272,3,1285,1285
9063,10037,2020,2903,2903,0,9,14,,0,5,5,0,13,13
9064,10038,2020,52974,52896,-78,164,153,,1,-91,-90,1,3135,3135
9065,10040,2020,16932,16931,-1,52,49,,0,-5,-5,1,1567,1567
9066,10041,2020,606612,608007,1395,1218,2252,,5,2477,2482,-53,6418,6418
9067,10042,2020,67380,67401,21,194,188,,1,13,14,1,2209,2209
9068,10043,2020,203718,204032,314,500,699,,-1,519,518,-5,2753,2753
9069,10044,2020,34659,34628,-31,144,97,,0,-78,-78,0,383,383
9070,10045,2020,282424,282231,-193,626,687,,0,-110,-110,-22,16055,16055
9071,10046,2020,6113,6115,2,18,27,,0,12,12,-1,216,216
9072,10047,2020,19965,19969,4,50,101,,0,56,56,-1,167,167
9073,10048,2020,382971,382940,-31,737,1105,,-2,360,358,-21,8570,8570
9074,10049,2020,4189,4184,-5,12,16,,0,-1,-1,0,7,7
9075,10050,2020,156010,156773,763,439,310,,7,623,630,4,538,538
9076,10051,2020,2993,2981,-12,8,8,,0,-13,-13,1,45,45
9077,10052,2020,2235,2224,-11,5,13,,0,-2,-2,-1,0,0
9078,10053,2020,19596,19581,-15,76,41,,0,-51,-51,1,226,226
