"celebrity_id","celebrity","notability"
1,"Erin Andrews","ESPN sportscaster"
2,"Evan Lysacek","Olympic figure skater"
3,"Niecy Nash","Comedian, actress & host"
4,"Aiden Turner","All My Children actor"
5,"Nicole Scherzinger","Pussycat Dolls singer"
6,"Jake Pavelka","The Bachelor star"
7,"Kate Gosselin","Reality television star"
8,"Chad Ochocinco","NFL wide receiver"
9,"Pamela Anderson","Playboy model & actress"
10,"Kurt Warner","NFL quarterback"
11,"Brandy","Singer & actress"
12,"Rick Fox","NBA small forward"
13,"Kyle Massey","Disney Channel actor & rapper"
14,"The Situation","Jersey Shore star"
15,"Florence Henderson","The Brady Bunch actress"
16,"Jennifer Grey","Film & television actress"
17,"Bristol Palin","Activist, author &---daughter of Sarah Palin"
18,"Audrina Patridge","The Hills star"
19,"George Hamilton","Actor"
20,"Lisa Rinna","Television actress & host"
21,"Kenny Mayne","ESPN anchorman"
22,"Stacy Keibler","WWE Diva"
23,"Joey McIntyre","New Kids on the Block singer"
24,"Drew Lachey","98 Degrees singer"
25,"Tia Carrere","Actress & model"
26,"Master P","Rapper & entrepreneur"
27,"Giselle Fernandez","Television journalist"
28,"Rachel Hunter","Supermodel"
29,"Evander Holyfield","Heavyweight boxer"
30,"Kelly Monaco","General Hospital actress"
31,"John O'Hurley","Television actor---& game show host"
32,"Jerry Rice","NFL wide receiver"
33,"Tatum O'Neal","Film actress"
34,"Trista Sutter","The Bachelorette star"
35,"Shannen Doherty","Film & television actress"
36,"Buzz Aldrin","Apollo 11 astronaut"
37,"Aaron Carter","Singer & actor"
38,"Chuck Liddell","UFC fighter"
39,"Mark Dacascos","Iron Chef America chairman"
40,"Ashley Hamilton","Actor & comedian"
41,"Donny Osmond","Singer & actor"
42,"Louie Vito","Snowboarder"
43,"Michael Irvin","NFL player"
44,"Tom DeLay","U.S. House Majority Leader"
45,"Debi Mazar","Film & television actress"
46,"Melissa Joan Hart","Television actress"
47,"Mýa","Singer-songwriter & actress"
48,"Kathy Ireland","Model & entrepreneur"
49,"Natalie Coughlin","Olympic swimmer"
50,"Macy Gray","R&B singer"
51,"Joanna Krupa","Model & actress"
52,"Kelly Osbourne","Reality television star & singer"
53,"Lil' Kim","Rapper"
54,"Belinda Carlisle","Singer-songwriter"
55,"Lawrence Taylor","NFL linebacker"
56,"Steve-O","Jackass star"
57,"Gilles Marini","Actor"
58,"Chuck Wicks","Country singer"
59,"Holly Madison","Playboy model &---reality television star"
60,"Ty Murray","Rodeo cowboy"
61,"Shawn Johnson","Olympic artistic gymnast"
62,"Steve Wozniak","Apple co-founder"
63,"David Alan Grier","Actor & comedian"
64,"Denise Richards","Actress"
65,"Melissa Rycroft","The Bachelor star"
66,"Cody Linley","Hannah Montana actor"
67,"Rocco DiSpirito","Celebrity chef & author"
68,"Toni Braxton","Singer-songwriter"
69,"Maurice Greene","Olympic sprinter"
70,"Brooke Burke","Model & television host"
71,"Ted McGinley","Film & television actor"
72,"Lance Bass","NSYNC singer"
73,"Cloris Leachman","Film & television actress"
74,"Jeffrey Ross","Stand-up comedian"
75,"Kim Kardashian","Reality television star"
76,"Susan Lucci","All My Children actress"
77,"Misty May-Treanor","Olympic beach volleyball player"
78,"Penn Jillette","Magician"
79,"Warren Sapp","NFL defensive tackle"
80,"Jason Taylor","NFL defensive end"
81,"Cristián de la Fuente","Film & television actor"
82,"Adam Carolla","Comedian & radio host"
83,"Mario","R&B singer"
84,"Jennie Garth","Television actress"
85,"Steve Guttenberg","Film actor"
86,"Shannon Elizabeth","American Pie actress"
87,"Josie Maran","Model & actress"
88,"Sabrina Bryan","The Cheetah Girls singer & actress"
89,"Marie Osmond","Entertainer"
90,"Monica Seles","Professional tennis player"
91,"Marissa Jaret Winokur","Broadway actress"
92,"Priscilla Presley","Actress & businesswoman"
93,"Kristi Yamaguchi","Olympic figure skater"
94,"Ian Ziering","Television actor"
95,"Mel B","Spice Girls singer"
96,"Jane Seymour","Film & television actress"
97,"Cameron Mathison","All My Children actor & TV host"
98,"Marlee Matlin","Film & television actress"
99,"Paulina Porizkova","Supermodel"
100,"Billy Ray Cyrus","Country music singer & actor"
101,"Floyd Mayweather Jr.","Professional boxer"
102,"Hélio Castroneves","Indy 500 champion"
103,"Albert Reed","Supermodel"
104,"Mark Cuban","Dallas Mavericks owner---& entrepreneur"
105,"Joey Lawrence","Television actor"
106,"Leeza Gibbons","Talk-show host"
107,"Joey Fatone","NSYNC singer & actor"
108,"Laila Ali","Professional boxer"
109,"John Ratzenberger","Film & television actor & author"
110,"Wayne Newton","Las Vegas entertainer"
111,"Sara Evans","Country music singer"
112,"Tucker Carlson","News anchor & commentator"
113,"Monique Coleman","High School Musical actress"
