"primary_song_id","primary_song","primary_song_artist_id"
1,"""Sweet Dreams (Are Made of This)""",1
2,"""Wait a Minute""",2
3,"""Taking Chances""",3
4,"""Live Like We're Dying""",4
5,"""The First Time Ever I Saw Your Face""",5
6,"""A Girl Like You""",6
7,"""For Your Entertainment""",7
8,"""Try Sleeping with a Broken Heart""",8
9,"""I Can't Make You Love Me""",9
10,"""Drops of Jupiter (Tell Me)""",10
11,"""This Woman's Work""",11
12,"""Violentango""",12
13,"""Nothin' on You""",13
14,"""Sweet Dreams (Are Made Of This)""",14
15,"""Yesterday""",15
16,"""La Cumparsita""",16
17,"""Umbrella""",17
18,"""Somebody to Love""",18
19,"""Oye Como Va""",19
20,"""(You Make Me Feel Like) A Natural Woman""",20
21,"""Hot Stuff""",21
22,"""I Wonder Why""",22
23,"""Crazy in Love""",23
24,"""She Bangs""",24
25,"""What a Wonderful World""",25
26,"""I Want You Back""",26
27,"""I Never Loved a Man (The Way I Love You)""",27
28,"""Three Times A Lady""",28
29,"""Respect""",20
30,"""I Have Nothing""",29
31,"""September""",30
32,"""I Like It""",31
33,"""What the World Needs Now Is Love""",32
34,"""Your Song""",33
35,"""Come Away with Me""",34
36,"""I Don't Wanna Miss a Thing""",35
37,"""Neutron Dance""",36
38,"""Emotion""",37
39,"""Top Hat, White Tie and Tails""",38
40,"""You're The One That I Want""",39
41,"""Endless Love""",40
42,"""Let's Face the Music and Dance""",41
43,"""Careless Whisper""",42
44,"""If My Friends Could See Me Now""",43
45,"""I'm Like a Bird""",44
46,"""Zoot Suit Riot""",45
47,"""Hero""",46
48,"""It Don't Mean a Thing""",47
49,"""Reet Petite""",48
50,"""Take My Breath Away""",49
51,"""Do You Love Me""",50
52,"""Toxic""",51
53,"""Footloose""",52
54,"""Dance with Me""",53
55,"""I'm Still Standing""",33
56,"""Hernando's Hideaway""",54
57,"""Crazy Little Thing Called Love""",55
58,"""Tequila""",57
59,"""Jailhouse Rock""",58
60,"""Cell Block Tango""",59
61,"""Saturday Night's Alright for Fighting""",33
62,"""Por una Cabeza""",60
63,"""Soul Bossa Nova""",61
64,"""Just The Two of Us""",62
65,"""Bailamos""",46
66,"""Let There Be Love""",63
67,"""Matador Paso""",64
68,"""España cañí""",65
69,"""Don't Know Why""",34
70,"""Bamboleo""",66
71,"""Big Spender""",67
72,"""Dream a Little Dream of Me""",68
73,"""Don't Let Me Be Misunderstood""",69
74,"""Cold, Cold Heart""",34
75,"""Thriller""",70
76,"""Eye of the Tiger""",71
77,"""Why Don't You Do Right""",72
78,"""The Final Countdown""",73
79,"""Bootylicious""",37
80,"""I'm So Excited""",36
81,"""Let's Get Loud""",74
82,"""Lady Marmalade""",75
83,"""Conga""",76
84,"""Le Freak""",77
85,"""Diamonds Are a Girl's Best Friend""",78
86,"""Get The Party Started""",79
87,"""The Look of Love""",80
88,"""No More Tears (Enough Is Enough)""",81
89,"""For Once in My Life""",82
90,"""Dirrty""",83
91,"""You Light Up My Life""",29
92,"""I Am What I Am""",85
93,"""Shut Up""",86
94,"""Perhaps, Perhaps, Perhaps""",87
95,"""9 to 5""",88
96,"""Wake Me Up Before You Go-Go""",42
97,"""You Can't Hurry Love""",89
98,"""Since U Been Gone""",90
99,"""One Way or Another""",91
100,"""Un-Break My Heart""",92
101,"""Fever""",93
102,"""Material Girl""",94
103,"""It Had to Be You""",95
104,"""Total Eclipse of the Heart""",96
105,"""Celebration""",97
