"id","price","ticketnum","performance_id","purchase_id"
"1","27","TA1857962","74","1"
"2","5","TA2692304","79","1"
"3","13","TA2539340","11","1"
"4","9","TA1340905","93","1"
"5","6","TA3440858","46","1"
"6","6","TA4148497","39","1"
"7","1","TA5294006","90","1"
"8","31","TA9684680","97","1"
"9","10","TA3661349","123","1"
"10","13","TA1230354","33","1"
"11","9","TA9976683","120","2"
"12","8","TA4800325","59","2"
"13","13","TA7792546","54","2"
"14","2","TA8537238","47","2"
"15","7","TA6035236","99","2"
"16","31","TA5734073","97","2"
"17","37","TA3109290","39","2"
"18","10","TA9621529","67","3"
"19","38","TA7271922","44","3"
"20","5","TA6606506","76","3"
"21","47","TA2091318","77","3"
"22","48","TA2080128","48","3"
"23","26","TA2039862","33","3"
"24","76","TA7801208","73","3"
"25","10","TA8070984","105","3"
"26","20","TA6047798","29","3"
"27","10","TA5329975","81","3"
"28","6","TA1452105","54","3"
"29","1","TA3596023","90","3"
"30","10","TA7394387","109","3"
"31","34","TA7815816","15","3"
"32","6","TA2940579","69","3"
"33","2","TA2841337","124","3"
"34","9","TA8311083","74","3"
"35","9","TA2217290","122","3"
"36","4","TA1691698","35","4"
"37","14","TA6932499","75","4"
"38","7","TA6078260","24","4"
"39","6","TA9772355","46","4"
"40","10","TA1686252","121","4"
"41","47","TA8057298","21","4"
"42","5","TA2503642","51","4"
"43","11","TA5680470","50","4"
"44","7","TA5114120","99","4"
"45","17","TA1406765","132","4"
"46","5","TA9638463","127","4"
"47","14","TA8245797","94","4"
"48","49","TA8237210","98","4"
"49","15","TA8616519","113","4"
"50","9","TA8864367","87","4"
"51","15","TA4587444","49","4"
"52","9","TA4279443","82","4"
"53","72","TA7390054","38","4"
"54","15","TA6116128","47","4"
"55","27","TA4429913","93","5"
"56","44","TA1563032","31","5"
"57","12","TA2970875","108","5"
"58","7","TA6787125","89","5"
"59","23","TA5114299","41","5"
"60","8","TA2462888","61","5"
"61","4","TA9957040","20","5"
"62","31","TA1702070","109","5"
"63","11","TA5549897","110","5"
"64","8","TA9474369","48","5"
"65","9","TA4253845","120","5"
"66","7","TA1579048","49","6"
"67","8","TA1329426","48","6"
"68","9","TA7838359","104","6"
"69","4","TA5755245","64","6"
"70","13","TA8415581","11","6"
"71","40","TA5677522","83","6"
"72","17","TA8697110","131","6"
"73","10","TA3379684","67","6"
"74","72","TA2205360","38","6"
"75","37","TA5159529","42","6"
"76","6","TA1852984","57","6"
"77","80","TA9342630","34","6"
"78","4","TA5432468","92","6"
"79","82","TA3139023","27","6"
"80","17","TA1995388","59","6"
"81","13","TA2553353","46","7"
"82","55","TA9202769","114","7"
"83","15","TA2053430","77","7"
"84","8","TA4641336","60","7"
"85","15","TA5810672","124","7"
"86","5","TA5313877","72","7"
"87","5","TA5599292","126","7"
"88","9","TA2119904","104","7"
"89","30","TA3826258","127","7"
"90","12","TA5044542","42","7"
"91","47","TA2044974","128","7"
"92","8","TA5691880","116","7"
"93","13","TA2629234","80","7"
"94","16","TA9117301","98","7"
"95","7","TA5527622","94","7"
"96","10","TA5789125","130","7"
"97","58","TA6658872","18","7"
"98","13","TA8864298","56","7"
"99","16","TA3086240","26","8"
"100","3","TA7809659","53","8"
"101","44","TA1876870","31","8"
"102","8","TA3857346","59","8"
"103","29","TA2773398","63","8"
"104","34","TA4470119","37","8"
"105","42","TA5149322","94","8"
"106","7","TA7179546","4","8"
"107","10","TA4576031","121","8"
"108","33","TA1406408","22","8"
"109","5","TA7371035","1","8"
"110","80","TA3984952","34","8"
"111","5","TA7961764","79","8"
"112","11","TA4546834","13","9"
"113","12","TA8277050","39","9"
"114","3","TA3046832","57","9"
"115","6","TA6689998","84","9"
"116","8","TA6292843","116","9"
"117","5","TA8641104","22","9"
"118","10","TA8504997","55","9"
"119","82","TA5003353","27","9"
"120","31","TA2737704","101","9"
"121","8","TA4602285","92","9"
"122","4","TA3863731","58","9"
"123","14","TA7614327","24","9"
"124","12","TA1183433","106","9"
"125","6","TA5715899","108","9"
"126","48","TA6434792","48","9"
"127","18","TA7628995","104","9"
"128","37","TA9742284","42","9"
"129","51","TA2457818","131","9"
"130","9","TA4541694","28","10"
"131","10","TA2637438","52","10"
"132","8","TA1728991","45","10"
"133","10","TA2125120","1","10"
"134","32","TA7219676","26","10"
"135","11","TA7252053","50","10"
"136","4","TA8539259","82","10"
"137","139","TA2856278","41","10"
"138","6","TA5669460","2","11"
"139","14","TA7459381","107","11"
"140","40","TA5258429","102","11"
"141","38","TA1594152","103","11"
"142","9","TA2845733","18","11"
"143","7","TA4913562","49","11"
"144","30","TA4408487","121","11"
"145","8","TA8624952","88","11"
"146","7","TA2797803","31","11"
"147","9","TA7731138","12","11"
"148","8","TA9627419","132","11"
