"actor_id","actor_name","gender"
1,"Kate McKinnon","female"
2,"Alex Moffat","male"
3,"Ego Nwodim","unknown"
4,"Chris Redd","male"
5,"Kenan Thompson","male"
6,"Carey Mulligan","andy"
7,"Marcus Mumford","male"
8,"Aidy Bryant","female"
9,"Steve Higgins","male"
10,"Mikey Day","male"
11,"Heidi Gardner","female"
12,"Lauren Holt","female"
13,"Kid Cudi","unknown"
14,"Timothee Chalamet","unknown"
15,"Pete Davidson","male"
16,"Chloe Fineman","female"
17,"Darrell Hammond","male"
18,"Colin Jost","male"
19,"Michael Che","male"
20,"Beck Bennett","male"
21,"Punkie Johnson","unknown"
22,"Bowen Yang","male"
23,"Andrew Dismukes","male"
24,"Kyle Mooney","male"
25,"Cecily Strong","female"
26,"Daniel Kaluuya","male"
27,"St. Vincent","unknown"
28,"Maya Rudolph","female"
29,"Melissa Villasenor","female"
30,"Martin Short","male"
31,"Jack Harlow","male"
32,"Adam Levine","male"
33,"Rachel Dratch","female"
34,"Tina Fey","female"
35,"Nick Jonas","male"
36,"Kevin Jonas","male"
37,"Rege-Jean Page","unknown"
38,"Bad Bunny","unknown"
39,"Rosalia","female"
40,"Regina King","female"
41,"Nathaniel Rateliff","male"
42,"The Night Sweats","female"
43,"Dan Levy","male"
44,"Eugene Levy","male"
45,"Phoebe Bridgers","female"
46,"John Krasinski","male"
47,"Machine Gun Kelly","unknown"
48,"Kristen Wiig","female"
49,"Dua Lipa","unknown"
50,"Nicole Flender","female"
51,"Jimmy Fallon","male"
52,"Bruce Springsteen & The E Street Band","male"
53,"Questlove","unknown"
54,"Jason Bateman","male"
55,"Eminem","unknown"
56,"Morgan Wallen","male"
57,"Alec Baldwin","male"
58,"Jim Carrey","male"
59,"Dave Chappelle","male"
60,"Foo Fighters","unknown"
61,"John Mulaney","male"
62,"The Strokes","female"
63,"Adele","female"
64,"H.E.R.","unknown"
65,"Issa Rae","male"
66,"Justin Bieber","male"
67,"Chance the Rapper","male"
68,"Benny Blanco","male"
69,"Bill Burr","male"
70,"Jason Momoa","male"
71,"Jack White","male"
72,"Harry Styles","male"
73,"Chris Rock","male"
74,"Megan Thee Stallion","female"
75,"Young Thug","female"
76,"Gary Richardson","male"
77,"Amy Davidson","female"
78,"Josh Gad","male"
79,"Bryan Tucker","male"
80,"Danny Trejo","male"
81,"Babyface","unknown"
82,"Boyz II Men","unknown"
83,"Brad Pitt","male"
84,"Charles Barkley","male"
85,"DJ Khaled","unknown"
86,"Fred Armisen","male"
87,"Jason Sudeikis","male"
88,"Adam Sandler","male"
89,"Casey Davidson","andy"
90,"Jackie Sandler","andy"
91,"Rob Schneider","male"
92,"Sadie Sandler","female"
93,"Sunny Sandler","male"
94,"Miley Cyrus","unknown"
95,"Paul Rudd","male"
96,"Tom Hanks","male"
97,"Larry David","male"
98,"Chris Martin","male"
99,"Amy Poehler","female"
100,"Ana Gasteyer","female"
101,"Bill Hader","male"
102,"Emily Spivey","female"
103,"Molly Shannon","female"
104,"Paula Pell","female"
105,"Hal Willner","male"
106,"Elizabeth Warren","female"
107,"Daniel Craig","male"
108,"The Weeknd","male"
109,"Justin Theroux","male"
110,"Lorne Michaels","male"
111,"David Byrne","male"
112,"Jake Gyllenhaal","male"
113,"RuPaul","female"
114,"Quavo","unknown"
115,"J.J. Watt","unknown"
116,"Luke Combs","male"
117,"Adam Driver","male"
118,"Jon Lovitz","male"
119,"Halsey","unknown"
120,"Eddie Murphy","male"
121,"Tracy Morgan","male"
122,"Lizzo","unknown"
123,"Usher","unknown"
124,"Scarlett Johansson","female"
125,"Niall Horan","male"
126,"James Corden","male"
127,"Jennifer Lopez","female"
128,"The Rockettes","female"
129,"Alex Rodriguez","male"
130,"DaBaby","unknown"
131,"Jabbawockeez","unknown"
132,"Will Ferrell","male"
133,"Ryan Reynolds","male"
134,"Woody Harrelson","male"
135,"King Princess","male"
136,"Jon Hamm","male"
137,"Bill Corsair","male"
138,"Kristen Stewart","female"
139,"Coldplay","unknown"
140,"Billy Porter","male"
141,"Lin-Manuel Miranda","male"
142,"David Harbour","male"
143,"Camila Cabello","female"
144,"Matthew Broderick","male"
145,"Phoebe Waller-Bridge","female"
146,"Taylor Swift","female"
147,"Lenny Pickett","male"
148,"Liev Schreiber","unknown"
149,"Billie Eilish","female"
150,"Finneas","unknown"
151,"Robert DeNiro","male"
152,"Jacob Anderson","male"
153,"Jane Fonda","female"
154,"Lily Tomlin","female"
155,"Big Sean","unknown"
156,"J Balvin","unknown"
157,"Jeremih","unknown"
158,"Lil Baby","female"
159,"Lil Wayne","male"
160,"Meek Mill","unknown"
161,"Leslie Jones","female"
162,"John Legend","male"
163,"Sza","unknown"
164,"Emma Thompson","female"
165,"Jonas Brothers","male"
166,"Shawn Mendes","male"
167,"Allen Covert","male"
168,"Michael Keaton","male"
169,"Emma Stone","female"
170,"Gena Rositano","female"
171,"BTS","unknown"
172,"Pablo Thomas","male"
173,"Ty Mitchell","male"
174,"Kit Harington","male"
175,"Emilia Clarke","female"
176,"John Bradley","male"
177,"Rose Leslie","female"
178,"Ice-T","unknown"
179,"Mariska Hargitay","female"
180,"Sara Bareilles","female"
181,"Sandra Oh","female"
182,"Tame Impala","unknown"
183,"Idris Elba","male"
184,"Khalid","male"
185,"Gwyneth Paltrow","female"
186,"Ben Stiller","male"
187,"Thomas Rhett","male"
188,"Don Cheadle","male"
189,"Gary Clark Jr.","male"
190,"Steve Martin","male"
191,"James McAvoy","male"
192,"Fabolous","unknown"
193,"Rachel Brosnahan","female"
194,"Greta Van Fleet","female"
195,"Matt Damon","male"
196,"Mark Ronson","male"
197,"Sean Lennon","male"
198,"Mumford & Sons","unknown"
199,"Claire Foy","female"
200,"Anderson .Paak","male"
201,"Kendrick Lamar","male"
202,"Steve Carell","male"
203,"Annie Carell","female"
204,"Ed Helms","male"
205,"Ellie Kemper","female"
206,"Jenna Fischer","female"
207,"Johnny Carell","male"
208,"Nancy Walls","female"
209,"Ella Mai","female"
210,"Future","unknown"
211,"Dan Crenshaw","male"
212,"Swizz Beatz","unknown"
213,"Jonah Hill","male"
214,"Candice Bergen","female"
215,"Drew Barrymore","female"
216,"Maggie Rogers","female"
217,"Seth Meyers","male"
218,"Paul Simon","male"
219,"yMusic","unknown"
220,"Al Gore","male"
221,"Awkwafina","unknown"
222,"Travis Scott","male"
223,"John Mayer","male"
224,"Kevin Parker","male"
225,"Wendy Williams","female"
226,"Kanye West","male"
227,"Lil Pump","female"
228,"Adele Givens","female"
229,"Teyana Taylor","unknown"
230,"070 Shake","unknown"
231,"Anne Hathaway","female"
232,"Benedict Cumberbatch","male"
233,"Donald Glover","male"
234,"Jerry Seinfeld","male"
235,"Casey Nicholaw","andy"
236,"Jeff Richmond","male"
237,"Nicki Minaj","female"
238,"Luke Null","male"
239,"John Goodman","male"
240,"Playboi Carti","unknown"
241,"Cindy Null","female"
242,"Elizabeth Thompson","female"
243,"Georganne Bryant","unknown"
244,"Kerry Kelly","female"
245,"Linda Mooney","female"
246,"Lupe Villasenor","female"
247,"Margaret Redd","female"
248,"Sarah Bennett","female"
249,"Sylvia Day","female"
250,"Amy Schumer","female"
251,"Kacey Musgraves","female"
252,"Melissa McCarthy","female"
253,"Stormy Daniels","female"
254,"Stacey Foster","female"
255,"A$AP Rocky","unknown"
256,"Childish Gambino","unknown"
257,"Zoe Kravitz","female"
258,"Nasim Pedrad","female"
259,"Chadwick Boseman","male"
260,"Cardi B","unknown"
261,"Sudi Green","unknown"
262,"Donna Richards","female"
263,"Arcade Fire","male"
264,"Sterling K. Brown","male"
265,"James Bay","male"
266,"Vanessa Bayer","female"
267,"Migos","unknown"
268,"Hilary Knight","female"
269,"Natalie Portman","female"
270,"Andy Samberg","male"
271,"Chris Stapleton","male"
272,"Sturgill Simpson","unknown"
273,"Jessica Chastain","female"
274,"Method Man","unknown"
275,"Akira Yoshimura","male"
276,"Troye Sivan","unknown"
277,"Bill Murray","male"
278,"Sam Rockwell","male"
279,"Stanley Tucci","male"
280,"G-Eazy","unknown"
281,"Kevin Hart","male"
282,"James Franco","male"
283,"Seth Rogen","male"
284,"Dave Franco","male"
285,"Saoirse Ronan","female"
286,"Greta Gerwig","female"
287,"U2","unknown"
288,"John McEnroe","male"
289,"Skylar Grey","andy"
290,"Common","unknown"
291,"Tiffany Haddish","female"
292,"Liam Hemsworth","male"
293,"George Springer","male"
294,"Alex Bregman","male"
295,"Jose Altuve","male"
296,"Kumail Nanjiani","unknown"
297,"Pink","unknown"
298,"Jason Aldean","male"
299,"Gal Gadot","male"
300,"Sam Smith","male"
301,"Ryan Gosling","male"
302,"Jay-Z","unknown"
303,"Damian Marley","male"
304,"Dwayne Johnson","male"
305,"Sasheer Zamata","female"
306,"Bobby Moynihan","male"
307,"Katy Perry","female"
308,"HAIM","unknown"
309,"Blake Lively","female"
310,"Ken Aymong","male"
311,"Chris Pine","male"
312,"LCD Soundsystem","unknown"
313,"Nile Rodgers","male"
314,"Louis C.K.","male"
315,"The Chainsmokers","female"
316,"Emily Warren","female"
317,"Lorde","female"
318,"Jack Antonoff","male"
319,"Octavia Spencer","female"
320,"Father John Misty","unknown"
321,"Ed Sheeran","male"
322,"Alessia Cara","female"
323,"Aziz Ansari","male"
324,"Felicity Jones","female"
325,"Casey Affleck","andy"
326,"Darryl McDaniels","male"
327,"Danielle Flora","female"
328,"Noname","unknown"
329,"Bryan Cranston","male"
330,"John Cena","male"
331,"Maren Morris","female"
332,"Jennifer Aniston","female"
333,"Will Forte","male"
334,"The xx","female"
335,"Donnell Rawlings","male"
336,"A Tribe Called Quest","unknown"
337,"Busta Rhymes","unknown"
338,"Consequence","unknown"
339,"Anthony Rizzo","male"
340,"David Ross","male"
341,"Dexter Fowler","male"
342,"Solange","female"
343,"Dana Carvey","male"
344,"Sampha","unknown"
345,"Lady Gaga","unknown"
346,"Emily Blunt","female"
347,"Bruno Mars","male"
348,"Twenty One Pilots","unknown"
349,"Margot Robbie","female"
350,"Taran Killam","male"
351,"Jay Pharoah","male"
352,"Jon Rudnitsky","male"
353,"Courtney Barnett","female"
354,"Carrie Brownstein","female"
355,"Drake","male"
356,"Phil Hartman","male"
357,"Brie Larson","female"
358,"Heather Desaulniers","female"
359,"Laura Campbell","female"
360,"Alicia Keys","female"
361,"Julia Louis-Dreyfus","female"
362,"Tony Hale","male"
363,"Tove Lo","female"
364,"Russell Crowe","male"
365,"Al Sharpton","male"
366,"Margo Price","female"
367,"Mike O'Brien","male"
368,"Peter Dinklage","male"
369,"Gwen Stefani","female"
370,"Ariana Grande","female"
371,"El DeBarge","female"
372,"Kelly Price","female"
373,"Kirk Franklin","male"
374,"The-Dream","unknown"
375,"Von Miller","unknown"
376,"Al Roker","male"
377,"Dylan Dreyer","male"
378,"Natalie Morales","female"
379,"Bernie Sanders","male"
380,"The 1975","female"
381,"Owen Wilson","male"
382,"Ronda Rousey","female"
383,"Selena Gomez","female"
384,"Wally Feresten","male"
385,"Gayle King","female"
386,"Paul McCartney","male"
387,"Chris Hemsworth","male"
388,"Mike Myers","male"
389,"Leon Bridges","male"
390,"Matthew McConaughey","male"
391,"Daisy Ridley","female"
392,"J.J. Abrams","unknown"
393,"John Boyega","male"
394,"Michael Buble","male"
395,"Elizabeth Banks","female"
396,"Don Roy King","male"
397,"Disclosure","unknown"
398,"Donald Trump","male"
399,"Ivanka Trump","female"
400,"Sia","female"
401,"Jack McBrayer","male"
402,"Jane Krakowski","female"
403,"Demi Lovato","female"
404,"Hillary Clinton","female"
405,"The Flaming Lips","female"
406,"Rihanna","female"
407,"Reese Witherspoon","female"
408,"Betty Witherspoon","female"
409,"Carolyn Bayer","female"
410,"Ivory Steward","male"
411,"Julie Moynihan","female"
412,"Penny Strong","female"
413,"Ramona Farrow","female"
414,"Florence + The Machine","female"
415,"Wiz Khalifa","unknown"
416,"Charlie Puth","male"
417,"Taraji P. Henson","female"
418,"Nikolaj Coster-Waldau","male"
419,"Billy Crystal","male"
420,"Jim Henson's Muppets","male"
421,"Carly Rae Jepsen","female"
422,"Norman Reedus","male"
