"episode_id","aired_at","season_id","episode_order_in_season"
20210410,"April 10, 2021",46,17
20210403,"April 3, 2021",46,16
20210327,"March 27, 2021",46,15
20210227,"February 27, 2021",46,14
20210220,"February 20, 2021",46,13
20210213,"February 13, 2021",46,12
20210206,"February 6, 2021",46,11
20210130,"January 30, 2021",46,10
20201219,"December 19, 2020",46,9
20201212,"December 12, 2020",46,8
20201205,"December 5, 2020",46,7
20201107,"November 7, 2020",46,6
20201031,"October 31, 2020",46,5
20201024,"October 24, 2020",46,4
20201017,"October 17, 2020",46,3
20201010,"October 10, 2020",46,2
20201003,"October 3, 2020",46,1
20200509,"May 9, 2020",45,18
20200425,"April 25, 2020",45,17
20200411,"April 11, 2020",45,16
20200307,"March 7, 2020",45,15
20200229,"February 29, 2020",45,14
20200208,"February 8, 2020",45,13
20200201,"February 1, 2020",45,12
20200125,"January 25, 2020",45,11
20191221,"December 21, 2019",45,10
20191214,"December 14, 2019",45,9
20191207,"December 7, 2019",45,8
20191123,"November 23, 2019",45,7
20191116,"November 16, 2019",45,6
20191102,"November 2, 2019",45,5
20191026,"October 26, 2019",45,4
20191012,"October 12, 2019",45,3
20191005,"October 5, 2019",45,2
20190928,"September 28, 2019",45,1
20190518,"May 18, 2019",44,21
20190511,"May 11, 2019",44,20
20190504,"May 4, 2019",44,19
20190413,"April 13, 2019",44,18
20190406,"April 6, 2019",44,17
20190330,"March 30, 2019",44,16
20190309,"March 9, 2019",44,15
20190302,"March 2, 2019",44,14
20190216,"February 16, 2019",44,13
20190209,"February 9, 2019",44,12
20190126,"January 26, 2019",44,11
20190119,"January 19, 2019",44,10
20181215,"December 15, 2018",44,9
20181208,"December 8, 2018",44,8
20181201,"December 1, 2018",44,7
20181117,"November 17, 2018",44,6
20181110,"November 10, 2018",44,5
20181103,"November 3, 2018",44,4
20181013,"October 13, 2018",44,3
20181006,"October 6, 2018",44,2
20180929,"September 29, 2018",44,1
20180519,"May 19, 2018",43,21
20180512,"May 12, 2018",43,20
20180505,"May 5, 2018",43,19
20180414,"April 14, 2018",43,18
20180407,"April 7, 2018",43,17
20180317,"March 17, 2018",43,16
20180310,"March 10, 2018",43,15
20180303,"March 3, 2018",43,14
20180203,"February 3, 2018",43,13
20180127,"January 27, 2018",43,12
20180120,"January 20, 2018",43,11
20180113,"January 13, 2018",43,10
20171216,"December 16, 2017",43,9
20171209,"December 9, 2017",43,8
20171202,"December 2, 2017",43,7
20171118,"November 18, 2017",43,6
20171111,"November 11, 2017",43,5
20171104,"November 4, 2017",43,4
20171014,"October 14, 2017",43,3
20171007,"October 7, 2017",43,2
20170930,"September 30, 2017",43,1
20170520,"May 20, 2017",42,21
20170513,"May 13, 2017",42,20
20170506,"May 6, 2017",42,19
20170415,"April 15, 2017",42,18
20170408,"April 8, 2017",42,17
20170311,"March 11, 2017",42,16
20170304,"March 4, 2017",42,15
20170211,"February 11, 2017",42,14
20170204,"February 4, 2017",42,13
20170121,"January 21, 2017",42,12
20170114,"January 14, 2017",42,11
20161217,"December 17, 2016",42,10
20161210,"December 10, 2016",42,9
20161203,"December 3, 2016",42,8
20161119,"November 19, 2016",42,7
20161112,"November 12, 2016",42,6
20161105,"November 5, 2016",42,5
20161022,"October 22, 2016",42,4
20161015,"October 15, 2016",42,3
20161008,"October 8, 2016",42,2
20161001,"October 1, 2016",42,1
20160521,"May 21, 2016",41,21
20160514,"May 14, 2016",41,20
20160507,"May 7, 2016",41,19
20160416,"April 16, 2016",41,18
20160409,"April 9, 2016",41,17
20160402,"April 2, 2016",41,16
20160312,"March 12, 2016",41,15
20160305,"March 5, 2016",41,14
20160213,"February 13, 2016",41,13
