"segment_id","name","category","episode_id","segment_order_in_episode"
202104101,"Eye On Minnesota","Cold Opening",20210410,0
202104102,"","Monologue",20210410,1
202104103,"What's Wrong With This Picture","Game Show",20210410,2
202104104,"Tremfalta","Commercial",20210410,3
202104105,"Study Buddy","Sketch",20210410,4
202104106,"Weird Little Flute","Music Video",20210410,5
202104107,"""Tequila Shots""","Musical Performance",20210410,6
202104108,"","Weekend Update",20210410,7
202104109,"","In Memoriam",20210410,8
2021041010,"Starcharter Andromeda","Show",20210410,9
2021041011,"Lesbian Period Drama","Commercial",20210410,10
2021041012,"The War In Words","Show",20210410,11
2021041013,"""Sad People""","Musical Performance",20210410,12
2021041014,"L'eggs","Sketch",20210410,13
2021041015,"","In Memoriam",20210410,14
2021041016,"","Goodnights",20210410,15
202104031,"Oops, You Did It Again","Cold Opening",20210403,0
202104032,"","Monologue",20210403,1
202104033,"Will You Take It?","Game Show",20210403,2
202104034,"Viral Apology Video","Film",20210403,3
202104035,"Scattergories","Sketch",20210403,4
202104036,"Proud Parents","Sketch",20210403,5
202104037,"""Pay Your Way In Pain""","Musical Performance",20210403,6
202104038,"","Weekend Update",20210403,7
202104039,"Frat Trip","Sketch",20210403,8
2021040310,"Dog Park","Sketch",20210403,9
2021040311,"""The Melting Of The Sun""","Musical Performance",20210403,10
2021040312,"Half Brother","Sketch",20210403,11
2021040313,"","Goodnights",20210403,12
202103271,"Snatched! Vaxed! Or Waxed!","Cold Opening",20210327,0
202103272,"","Monologue",20210327,1
202103273,"Hot Ones","Show",20210327,2
202103274,"Boomers Got The Vax","Music Video",20210327,3
202103275,"A Kamala Harris Unity Seder","Sketch",20210327,4
202103276,"NFTs","Music Video",20210327,5
202103277,"""Tyler Herro"", ""WHATS POPPIN""","Musical Performance",20210327,6
202103278,"","Weekend Update",20210327,7
202103279,"Choreographers","Sketch",20210327,8
2021032710,"2021 Barfly Awards","Award Show",20210327,9
2021032711,"""Same Guy""","Musical Performance",20210327,10
2021032712,"The Maya-ing","Film",20210327,11
2021032713,"","Goodnights",20210327,12
202102271,"So You Think You Can Get The Vaccine","Cold Opening",20210227,0
202102272,"","Monologue",20210227,1
202102273,"Workout Mirror","Sketch",20210227,2
202102274,"Murder Show","Music Video",20210227,3
202102275,"Cinderella","Sketch",20210227,4
202102276,"Bachelor Party","Film",20210227,5
202102277,"""Spaceman""","Musical Performance",20210227,6
202102278,"","Weekend Update",20210227,7
202102279,"Viking Voyager","Sketch",20210227,8
2021022710,"The Dionne Warwick Talk Show","Show",20210227,9
2021022711,"""This Is Heaven""","Musical Performance",20210227,10
2021022712,"Dating After Lockdown","Sketch",20210227,11
2021022713,"","Goodnights",20210227,12
202102201,"Oops, You Did It Again","Cold Opening",20210220,0
202102202,"","Monologue",20210220,1
202102203,"Actors Spotlight","Show",20210220,2
202102204,"Loco","Music Video",20210220,3
202102205,"Drivers License","Sketch",20210220,4
202102206,"Mr. Chicken Legs Pageant","Show",20210220,5
202102207,"The Job Interview","Film",20210220,6
202102208,"""La Noche de Anoche""","Musical Performance",20210220,7
202102209,"","Weekend Update",20210220,8
2021022010,"Songs Of The Sea","Show",20210220,9
2021022011,"Let's Say Grace","Sketch",20210220,10
2021022012,"Intimacy Coordinators","Sketch",20210220,11
